Gene,Gene Name,log_2 fold change
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000128342"" target=""_blank"">ENSG00000128342</a>",LIF,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000201643"" target=""_blank"">ENSG00000201643</a>",SNORA14A,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000153230"" target=""_blank"">ENSG00000153230</a>",OR14K1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152154"" target=""_blank"">ENSG00000152154</a>",TMEM178A,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000105700"" target=""_blank"">ENSG00000105700</a>",KXD1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000284736"" target=""_blank"">ENSG00000284736</a>",RNA5SP343,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000089053"" target=""_blank"">ENSG00000089053</a>",ANAPC5,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000264767"" target=""_blank"">ENSG00000264767</a>",RN7SL237P,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000077274"" target=""_blank"">ENSG00000077274</a>",CAPN6,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000243660"" target=""_blank"">ENSG00000243660</a>",ZNF487,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000114270"" target=""_blank"">ENSG00000114270</a>",COL7A1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166368"" target=""_blank"">ENSG00000166368</a>",OR2D2,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000212527"" target=""_blank"">ENSG00000212527</a>",RNA5SP63,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000145681"" target=""_blank"">ENSG00000145681</a>",HAPLN1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000234386"" target=""_blank"">ENSG00000234386</a>",OR7E162P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207167"" target=""_blank"">ENSG00000207167</a>",RNU6-1340P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111445"" target=""_blank"">ENSG00000111445</a>",RFC5,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111261"" target=""_blank"">ENSG00000111261</a>",MANSC1,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252594"" target=""_blank"">ENSG00000252594</a>",RNU6-656P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252086"" target=""_blank"">ENSG00000252086</a>",RNA5SP76,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198753"" target=""_blank"">ENSG00000198753</a>",PLXNB3,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200997"" target=""_blank"">ENSG00000200997</a>",RNVU1-34,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200097"" target=""_blank"">ENSG00000200097</a>",RNU6-1167P,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152926"" target=""_blank"">ENSG00000152926</a>",ZNF117,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154803"" target=""_blank"">ENSG00000154803</a>",FLCN,1.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000202200"" target=""_blank"">ENSG00000202200</a>",Y_RNA,1.8
